Vivado Simulator 2019.2
Time resolution is 1 ps
===== Simulation ======
[CORRECT] s0 = 000001, s1 = 111000, s2 = 101110, s3 = 100110, result = 1001
[CORRECT] s0 = 000001, s1 = 110000, s2 = 111111, s3 = 100110, result = 1001
[CORRECT] s0 = 000001, s1 = 101000, s2 = 010000, s3 = 100111, result = 1010
[CORRECT] s0 = 000001, s1 = 100000, s2 = 100001, s3 = 100111, result = 1010
[CORRECT] s0 = 000001, s1 = 010000, s2 = 110010, s3 = 100111, result = 1010
[CORRECT] s0 = 000001, s1 = 001000, s2 = 000011, s3 = 101000, result = 1011
[CORRECT] s0 = 000001, s1 = 000000, s2 = 010100, s3 = 101000, result = 1011
[CORRECT] s0 = 000001, s1 = 111000, s2 = 100100, s3 = 101000, result = 1011
[CORRECT] s0 = 000001, s1 = 110000, s2 = 110101, s3 = 101000, result = 1011
[CORRECT] s0 = 000001, s1 = 101000, s2 = 000110, s3 = 101001, result = 1100
[CORRECT] s0 = 000001, s1 = 100000, s2 = 010111, s3 = 101001, result = 1100
[CORRECT] s0 = 000001, s1 = 011000, s2 = 101000, s3 = 101001, result = 1100
[CORRECT] s0 = 000001, s1 = 010000, s2 = 111001, s3 = 101001, result = 1100
[CORRECT] s0 = 000001, s1 = 001000, s2 = 001010, s3 = 101010, result = 1101
[CORRECT] s0 = 000001, s1 = 111000, s2 = 011010, s3 = 101010, result = 1101
[CORRECT] s0 = 000001, s1 = 110000, s2 = 101011, s3 = 101010, result = 1101
[CORRECT] s0 = 000001, s1 = 101000, s2 = 111100, s3 = 101010, result = 1101
[CORRECT] s0 = 000001, s1 = 100000, s2 = 001101, s3 = 101011, result = 1110
[CORRECT] s0 = 000001, s1 = 011000, s2 = 011110, s3 = 101011, result = 1110
[CORRECT] s0 = 000001, s1 = 010000, s2 = 101111, s3 = 101011, result = 1110
[CORRECT] s0 = 000001, s1 = 001000, s2 = 000000, s3 = 101100, result = 1111
[CORRECT] s0 = 000001, s1 = 000000, s2 = 010001, s3 = 101100, result = 1111
[CORRECT] s0 = 000001, s1 = 111000, s2 = 100001, s3 = 101100, result = 1111
[CORRECT] s0 = 000001, s1 = 110000, s2 = 110010, s3 = 101100, result = 1111
[CORRECT] s0 = 000001, s1 = 100000, s2 = 000011, s3 = 101101, result = 0000
[CORRECT] s0 = 000001, s1 = 011000, s2 = 010100, s3 = 101101, result = 0000
[CORRECT] s0 = 000001, s1 = 010000, s2 = 100101, s3 = 101101, result = 0000
[CORRECT] s0 = 000001, s1 = 001000, s2 = 110110, s3 = 101101, result = 0000
[CORRECT] s0 = 000001, s1 = 000000, s2 = 000111, s3 = 101110, result = 0001
[CORRECT] s0 = 000001, s1 = 111000, s2 = 010111, s3 = 101110, result = 0001
[CORRECT] s0 = 000001, s1 = 110000, s2 = 101000, s3 = 101110, result = 0001
[CORRECT] s0 = 000001, s1 = 101000, s2 = 111001, s3 = 101110, result = 0001
[CORRECT] s0 = 000001, s1 = 100000, s2 = 001010, s3 = 101111, result = 0010
[CORRECT] s0 = 000001, s1 = 011000, s2 = 011011, s3 = 101111, result = 0010
[CORRECT] s0 = 000001, s1 = 001000, s2 = 101100, s3 = 101111, result = 0010
[CORRECT] s0 = 000001, s1 = 000000, s2 = 111101, s3 = 101111, result = 0010
[CORRECT] s0 = 000001, s1 = 111000, s2 = 001101, s3 = 110000, result = 0000
[CORRECT] s0 = 000001, s1 = 110000, s2 = 011110, s3 = 110000, result = 0000
[CORRECT] s0 = 000001, s1 = 101000, s2 = 101111, s3 = 110000, result = 0000
[CORRECT] s0 = 000001, s1 = 100000, s2 = 000000, s3 = 110001, result = 0100
[CORRECT] s0 = 000001, s1 = 011000, s2 = 010001, s3 = 110001, result = 0100
[CORRECT] s0 = 000001, s1 = 010000, s2 = 100010, s3 = 110001, result = 0100
[CORRECT] s0 = 000001, s1 = 001000, s2 = 110011, s3 = 110001, result = 0100
[CORRECT] s0 = 000001, s1 = 000000, s2 = 000100, s3 = 110010, result = 1000
[CORRECT] s0 = 000001, s1 = 110000, s2 = 010100, s3 = 110010, result = 1000
[CORRECT] s0 = 000001, s1 = 101000, s2 = 100101, s3 = 110010, result = 1000
[CORRECT] s0 = 000001, s1 = 100000, s2 = 110110, s3 = 110010, result = 1000
[CORRECT] s0 = 000001, s1 = 011000, s2 = 000111, s3 = 110011, result = 1100
[CORRECT] s0 = 000001, s1 = 010000, s2 = 011000, s3 = 110011, result = 1100
[CORRECT] s0 = 000001, s1 = 001000, s2 = 101001, s3 = 110011, result = 1100
[CORRECT] s0 = 000001, s1 = 000000, s2 = 111010, s3 = 110011, result = 1100
[CORRECT] s0 = 000001, s1 = 111000, s2 = 001010, s3 = 110100, result = 0000
[CORRECT] s0 = 000001, s1 = 110000, s2 = 011011, s3 = 110100, result = 0000
[CORRECT] s0 = 000001, s1 = 101000, s2 = 101100, s3 = 110100, result = 0000
[CORRECT] s0 = 000001, s1 = 011000, s2 = 111101, s3 = 110100, result = 0000
[CORRECT] s0 = 000001, s1 = 010000, s2 = 001110, s3 = 110101, result = 0100
[CORRECT] s0 = 000001, s1 = 001000, s2 = 011111, s3 = 110101, result = 0100
[CORRECT] s0 = 000001, s1 = 000000, s2 = 110000, s3 = 110101, result = 0100
[CORRECT] s0 = 000001, s1 = 111000, s2 = 000000, s3 = 110110, result = 1000
[CORRECT] s0 = 000001, s1 = 110000, s2 = 010001, s3 = 110110, result = 1000
[CORRECT] s0 = 000001, s1 = 101000, s2 = 100010, s3 = 110110, result = 1000
[CORRECT] s0 = 000001, s1 = 100000, s2 = 110011, s3 = 110110, result = 1000
[CORRECT] s0 = 000001, s1 = 011000, s2 = 000100, s3 = 110111, result = 1100
[CORRECT] s0 = 000001, s1 = 010000, s2 = 010101, s3 = 110111, result = 1100
[CORRECT] s0 = 000001, s1 = 000000, s2 = 100110, s3 = 110111, result = 1100
[CORRECT] s0 = 000001, s1 = 111000, s2 = 110110, s3 = 110111, result = 1100
[CORRECT] s0 = 000001, s1 = 110000, s2 = 000111, s3 = 111000, result = 0000
[CORRECT] s0 = 000001, s1 = 101000, s2 = 011000, s3 = 111000, result = 0000
[CORRECT] s0 = 000001, s1 = 100000, s2 = 101001, s3 = 111000, result = 0000
[CORRECT] s0 = 000001, s1 = 011000, s2 = 111010, s3 = 111000, result = 0000
[CORRECT] s0 = 000001, s1 = 010000, s2 = 001011, s3 = 111001, result = 0100
[CORRECT] s0 = 000001, s1 = 001000, s2 = 011100, s3 = 111001, result = 0100
[CORRECT] s0 = 000001, s1 = 000000, s2 = 101101, s3 = 111001, result = 0100
[CORRECT] s0 = 000001, s1 = 111000, s2 = 111101, s3 = 111001, result = 0100
[CORRECT] s0 = 000001, s1 = 101000, s2 = 001110, s3 = 111010, result = 1000
[CORRECT] s0 = 000001, s1 = 100000, s2 = 011111, s3 = 111010, result = 1000
[CORRECT] s0 = 000001, s1 = 011000, s2 = 110000, s3 = 111010, result = 1000
[CORRECT] s0 = 000001, s1 = 010000, s2 = 000001, s3 = 111011, result = 1100
[CORRECT] s0 = 000001, s1 = 001000, s2 = 010010, s3 = 111011, result = 1100
[CORRECT] s0 = 000001, s1 = 000000, s2 = 100011, s3 = 111011, result = 1100
[CORRECT] s0 = 000001, s1 = 111000, s2 = 110011, s3 = 111011, result = 1100
[CORRECT] s0 = 000001, s1 = 110000, s2 = 000100, s3 = 111100, result = 0000
[CORRECT] s0 = 000001, s1 = 101000, s2 = 010101, s3 = 111100, result = 0000
[CORRECT] s0 = 000001, s1 = 100000, s2 = 100110, s3 = 111100, result = 0000
[CORRECT] s0 = 000001, s1 = 010000, s2 = 110111, s3 = 111100, result = 0000
[CORRECT] s0 = 000001, s1 = 001000, s2 = 001000, s3 = 111101, result = 0100
[CORRECT] s0 = 000001, s1 = 000000, s2 = 011001, s3 = 111101, result = 0100
